nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Estados Unidos,331000000,9833517,América
México,126014024,1964375,América
Colombia,51049498,1141748,América
España,47351567,505990,Europa
Francia,67413000,551695,Europa
Alemania,83149300,357022,Europa
Italia,60317116,301340,Europa
Reino Unido,67886011,243610,Europa
China,1412600000,9596960,Asia
India,1380004385,3287263,Asia
Japón,125800000,377975,Asia
Rusia,144104080,17098242,Europa
Australia,25499884,7692024,Oceanía
Egipto,102334404,1001449,África
Nigeria,206139589,923768,África
Sudáfrica,59308690,1219090,África
Marruecos,36910560,446550,África
Canadá,38005238,9984670,América
